date,min_sustained_stress,min_sustained_respiration,stress_measurements,respiration_measurements,deep_sleep_duration,rem_sleep_duration,light_sleep_duration,awake_duration,total_sleep_duration,sleep_efficiency,avg_sleep_stress,min_sleep_stress,max_sleep_stress,avg_sleep_body_battery,min_sleep_body_battery,max_sleep_body_battery
2024-06-11,,,0,0,,,,,,,,,,,,
2024-06-12,,,0,0,,,,,,,,,,,,
2024-06-13,,,0,0,,,,,,,,,,,,
2024-06-14,,,0,0,,,,,,,,,,,,
2024-06-15,,,0,0,,,,,,,,,,,,
2024-06-16,,,0,0,,,,,,,,,,,,
2024-06-17,,,0,0,,,,,,,,,,,,
2024-06-18,,,0,0,,,,,,,,,,,,
2024-06-19,,,0,0,,,,,,,,,,,,
2024-06-20,,,0,0,,,,,,,,,,,,
2024-06-21,,,0,0,,,,,,,,,,,,
2024-06-22,,,0,0,,,,,,,,,,,,
2024-06-23,,,0,0,,,,,,,,,,,,
2024-06-24,,,0,0,,,,,,,,,,,,
2024-06-25,,,0,0,,,,,,,,,,,,
2024-06-26,,,0,0,,,,,,,,,,,,
2024-06-27,,,0,0,,,,,,,,,,,,
2024-06-28,,,0,0,,,,,,,,,,,,
2024-06-29,,,0,0,,,,,,,,,,,,
2024-06-30,,,0,0,,,,,,,,,,,,
2024-07-01,,,0,0,,,,,,,,,,,,
2024-07-02,,,0,0,,,,,,,,,,,,
2024-07-03,,,0,0,,,,,,,,,,,,
2024-07-04,,,0,0,,,,,,,,,,,,
2024-07-05,,,0,0,,,,,,,,,,,,
2024-07-06,,,0,0,,,,,,,,,,,,
2024-07-07,,,0,0,,,,,,,,,,,,
2024-07-08,,,0,0,,,,,,,,,,,,
2024-07-09,,,0,0,,,,,,,,,,,,
2024-07-10,,,0,0,,,,,,,,,,,,
2024-07-11,,,0,0,,,,,,,,,,,,
2024-07-12,,,0,0,,,,,,,,,,,,
2024-07-13,,,0,0,,,,,,,,,,,,
2024-07-14,,,0,0,,,,,,,,,,,,
2024-07-15,,,0,0,,,,,,,,,,,,
2024-07-16,,,0,0,,,,,,,,,,,,
2024-07-17,,,0,0,,,,,,,,,,,,
2024-07-18,,,0,0,,,,,,,,,,,,
2024-07-19,,,0,0,,,,,,,,,,,,
2024-07-20,,,0,0,,,,,,,,,,,,
2024-07-21,,,0,0,,,,,,,,,,,,
2024-07-22,,,0,0,,,,,,,,,,,,
2024-07-23,,,0,0,,,,,,,,,,,,
2024-07-24,,,0,0,,,,,,,,,,,,
2024-07-25,,,0,0,,,,,,,,,,,,
2024-07-26,,,0,0,,,,,,,,,,,,
2024-07-27,,,0,0,,,,,,,,,,,,
2024-07-28,,,0,0,,,,,,,,,,,,
2024-07-29,,,0,0,,,,,,,,,,,,
2024-07-30,,,0,0,,,,,,,,,,,,
2024-07-31,,,0,0,,,,,,,,,,,,
2024-08-01,,,0,0,,,,,,,,,,,,
2024-08-02,,,0,0,,,,,,,,,,,,
2024-08-03,,,0,0,,,,,,,,,,,,
2024-08-04,,,0,0,,,,,,,,,,,,
2024-08-05,,,0,0,,,,,,,,,,,,
2024-08-06,,,0,0,,,,,,,,,,,,
2024-08-07,,,0,0,,,,,,,,,,,,
2024-08-08,,,0,0,,,,,,,,,,,,
2024-08-09,,,0,0,,,,,,,,,,,,
2024-08-10,,,0,0,,,,,,,,,,,,
2024-08-11,,,0,0,,,,,,,,,,,,
2024-08-12,,,0,0,,,,,,,,,,,,
2024-08-13,,,0,0,,,,,,,,,,,,
2024-08-14,,,0,0,,,,,,,,,,,,
2024-08-15,,,0,0,,,,,,,,,,,,
2024-08-16,,,0,0,,,,,,,,,,,,
2024-08-17,,,0,0,,,,,,,,,,,,
2024-08-18,,,0,0,,,,,,,,,,,,
2024-08-19,,,0,0,,,,,,,,,,,,
2024-08-20,,,0,0,,,,,,,,,,,,
2024-08-21,,,0,0,,,,,,,,,,,,
2024-08-22,,,0,0,,,,,,,,,,,,
2024-08-23,,,0,0,,,,,,,,,,,,
2024-08-24,,,0,0,,,,,,,,,,,,
2024-08-25,,,0,0,,,,,,,,,,,,
2024-08-26,,,0,0,,,,,,,,,,,,
2024-08-27,,,0,0,,,,,,,,,,,,
2024-08-28,,,0,0,,,,,,,,,,,,
2024-08-29,,,0,0,,,,,,,,,,,,
2024-08-30,,,0,0,,,,,,,,,,,,
2024-08-31,,,0,0,,,,,,,,,,,,
2024-09-01,,,0,0,,,,,,,,,,,,
2024-09-02,,,0,0,,,,,,,,,,,,
2024-09-03,,,0,0,,,,,,,,,,,,
2024-09-04,,,0,0,,,,,,,,,,,,
2024-09-05,,,0,0,,,,,,,,,,,,
2024-09-06,,,0,0,,,,,,,,,,,,
2024-09-07,,,0,0,,,,,,,,,,,,
2024-09-08,,,0,0,,,,,,,,,,,,
2024-09-09,,,0,0,,,,,,,,,,,,
2024-09-10,,,0,0,,,,,,,,,,,,
2024-09-11,,,0,0,,,,,,,,,,,,
2024-09-12,,,0,0,,,,,,,,,,,,
2024-09-13,,,0,0,,,,,,,,,,,,
2024-09-14,,,0,0,,,,,,,,,,,,
2024-09-15,,,0,0,,,,,,,,,,,,
2024-09-16,,,0,0,,,,,,,,,,,,
2024-09-17,,,0,0,,,,,,,,,,,,
2024-09-18,,,0,0,,,,,,,,,,,,
2024-09-19,,,0,0,,,,,,,,,,,,
2024-09-20,,,0,0,,,,,,,,,,,,
2024-09-21,,,0,0,,,,,,,,,,,,
2024-09-22,,,0,0,,,,,,,,,,,,
2024-09-23,,,0,0,,,,,,,,,,,,
2024-09-24,,,0,0,,,,,,,,,,,,
2024-09-25,,,0,0,,,,,,,,,,,,
2024-09-26,,,0,0,,,,,,,,,,,,
2024-09-27,,,0,0,,,,,,,,,,,,
2024-09-28,,,0,0,,,,,,,,,,,,
2024-09-29,,,0,0,,,,,,,,,,,,
2024-09-30,,,0,0,,,,,,,,,,,,
2024-10-01,,,0,0,,,,,,,,,,,,
2024-10-02,,,0,0,,,,,,,,,,,,
2024-10-03,,,0,0,,,,,,,,,,,,
2024-10-04,,,0,0,,,,,,,,,,,,
2024-10-05,,,0,0,,,,,,,,,,,,
2024-10-06,,,0,0,,,,,,,,,,,,
2024-10-07,,,0,0,,,,,,,,,,,,
2024-10-08,,,0,0,,,,,,,,,,,,
2024-10-09,,,0,0,,,,,,,,,,,,
2024-10-10,,,0,0,,,,,,,,,,,,
2024-10-11,,,0,0,,,,,,,,,,,,
2024-10-12,,,0,0,,,,,,,,,,,,
2024-10-13,,,0,0,,,,,,,,,,,,
2024-10-14,,,0,0,,,,,,,,,,,,
2024-10-15,,,0,0,,,,,,,,,,,,
2024-10-16,,,0,0,,,,,,,,,,,,
2024-10-17,,,0,0,,,,,,,,,,,,
2024-10-18,,,0,0,,,,,,,,,,,,
2024-10-19,,,0,0,,,,,,,,,,,,
2024-10-20,,,0,0,,,,,,,,,,,,
2024-10-21,,,0,0,,,,,,,,,,,,
2024-10-22,,,0,0,,,,,,,,,,,,
2024-10-23,,,0,0,,,,,,,,,,,,
2024-10-24,,,0,0,,,,,,,,,,,,
2024-10-25,,,0,0,,,,,,,,,,,,
2024-10-26,,,0,0,,,,,,,,,,,,
2024-10-27,,,0,0,,,,,,,,,,,,
2024-10-28,,,0,0,,,,,,,,,,,,
2024-10-29,,,0,0,,,,,,,,,,,,
2024-10-30,,,0,0,,,,,,,,,,,,
2024-10-31,,,0,0,,,,,,,,,,,,
2024-11-01,4.0,9.0,424,660,,,,,,,19.694267515923567,11.0,36.0,48.2484076433121,17.0,72.0
2024-11-02,5.0,9.0,347,574,,,,,,,15.048275862068966,4.0,33.0,62.724137931034484,33.0,90.0
2024-11-03,14.0,9.0,407,602,,,,,,,43.534591194968556,19.0,73.0,20.29559748427673,7.0,32.0
2024-11-04,5.0,10.0,408,646,,,,,,,9.119718309859154,2.0,25.0,49.45774647887324,6.0,93.0
2024-11-05,5.0,9.0,407,633,,,,,,,9.70503597122302,2.0,25.0,67.15827338129496,34.0,99.0
2024-11-06,4.0,10.0,407,641,,,,,,,10.864285714285714,3.0,23.0,66.95,32.0,99.0
2024-11-07,13.0,10.0,437,682,,,,,,,24.078014184397162,12.0,35.0,33.01418439716312,13.0,57.0
2024-11-08,1.0,9.0,410,636,,,,,,,7.129310344827586,1.0,18.0,65.18103448275862,35.0,94.0
2024-11-09,5.0,10.0,399,611,,,,,,,15.067567567567568,2.0,34.0,60.54054054054054,33.0,92.0
2024-11-10,7.0,9.0,357,563,,,,,,,16.211180124223603,3.0,35.0,45.11801242236025,11.0,82.0
2024-11-11,8.0,9.0,449,693,,,,,,,18.05921052631579,4.0,44.0,29.44736842105263,5.0,63.0
2024-11-12,6.0,9.0,392,612,,,,,,,9.672566371681416,4.0,19.0,70.63716814159292,46.0,94.0
2024-11-13,6.0,9.0,426,666,,,,,,,15.258503401360544,4.0,29.0,58.29931972789116,29.0,88.0
2024-11-14,5.0,9.0,431,658,,,,,,,9.712418300653594,-2.0,24.0,67.05882352941177,26.0,98.0
2024-11-15,4.0,10.0,391,630,,,,,,,10.301470588235293,3.0,24.0,66.82352941176471,33.0,99.0
2024-11-16,9.0,9.0,331,509,,,,,,,27.83969465648855,12.0,62.0,36.656488549618324,18.0,51.0
2024-11-17,5.0,9.0,368,565,,,,,,,12.424083769633508,3.0,31.0,64.28795811518324,17.0,99.0
2024-11-18,5.0,10.0,430,649,,,,,,,22.345864661654137,6.0,50.0,25.466165413533833,8.0,50.0
2024-11-19,2.0,10.0,439,672,,,,,,,6.446601941747573,1.0,15.0,66.18446601941747,37.0,89.0
2024-11-20,12.0,7.0,403,614,,,,,,,23.529411764705884,-1.0,52.0,46.838235294117645,29.0,65.0
2024-11-21,8.0,7.0,413,638,,,,,,,12.08130081300813,4.0,24.0,56.24390243902439,24.0,89.0
2024-11-22,4.0,10.0,408,645,,,,,,,10.625,2.0,27.0,58.233333333333334,28.0,93.0
2024-11-23,19.0,9.0,432,656,,,,,,,33.67955801104972,17.0,73.0,40.90055248618785,23.0,52.0
2024-11-24,7.0,9.0,406,636,,,,,,,14.3646408839779,-1.0,43.0,51.850828729281766,14.0,90.0
2024-11-25,8.0,9.0,441,670,,,,,,,18.48,6.0,40.0,38.58,13.0,68.0
2024-11-26,6.0,9.0,413,659,,,,,,,11.287878787878787,3.0,26.0,60.515151515151516,29.0,94.0
2024-11-27,7.0,9.0,408,637,,,,,,,13.756521739130434,5.0,31.0,56.04347826086956,29.0,85.0
2024-11-28,8.0,9.0,433,667,,,,,,,14.729323308270677,6.0,34.0,47.037593984962406,15.0,81.0
2024-11-29,15.0,9.0,400,637,,,,,,,27.56115107913669,13.0,48.0,38.71223021582734,22.0,56.0
2024-11-30,15.0,7.0,366,593,,,,,,,33.97841726618705,13.0,69.0,19.52517985611511,5.0,39.0
2024-12-01,8.0,9.0,342,545,,,,,,,15.358778625954198,5.0,29.0,35.3587786259542,7.0,70.0
2024-12-02,8.0,9.0,443,679,,,,,,,17.87857142857143,5.0,40.0,30.72142857142857,5.0,66.0
2024-12-03,2.0,10.0,413,652,,,,,,,5.5,1.0,19.0,73.34166666666667,46.0,96.0
2024-12-04,6.0,9.0,422,645,,,,,,,12.909774436090226,3.0,23.0,48.07518796992481,14.0,85.0
2024-12-05,9.0,9.0,403,614,,,,,,,14.418803418803419,8.0,24.0,52.042735042735046,24.0,81.0
2024-12-06,6.0,9.0,345,562,,,,,,,19.216216216216218,5.0,29.0,43.189189189189186,11.0,76.0
2024-12-07,10.0,9.0,311,493,,,,,,,17.457142857142856,7.0,59.0,51.714285714285715,17.0,78.0
2024-12-08,13.0,9.0,385,575,,,,,,,25.44078947368421,10.0,66.0,33.88157894736842,12.0,54.0
2024-12-09,9.0,9.0,446,679,,,,,,,16.84722222222222,6.0,45.0,33.895833333333336,6.0,67.0
2024-12-10,5.0,9.0,419,637,,,,,,,10.197080291970803,3.0,23.0,69.91970802919708,34.0,99.0
2024-12-11,13.0,9.0,354,548,,,,,,,,,,,,
2024-12-12,9.0,9.0,505,772,,,,,,,16.337931034482757,6.0,26.0,28.372413793103448,5.0,66.0
2024-12-13,3.0,9.0,381,602,,,,,,,11.976744186046512,3.0,22.0,54.78294573643411,21.0,89.0
2024-12-14,15.0,9.0,422,638,,,,,,,29.84269662921348,15.0,60.0,25.40449438202247,5.0,46.0
2024-12-15,4.0,9.0,361,554,,,,,,,12.06832298136646,2.0,26.0,61.73913043478261,20.0,95.0
2024-12-16,11.0,9.0,455,688,,,,,,,20.751824817518248,10.0,37.0,26.708029197080293,5.0,52.0
2024-12-17,4.0,10.0,418,645,,,,,,,12.018518518518519,3.0,24.0,56.425925925925924,32.0,88.0
2024-12-18,5.0,9.0,424,645,,,,,,,15.782945736434108,6.0,25.0,49.18604651162791,19.0,79.0
2024-12-19,4.0,9.0,438,667,,,,,,,12.843971631205674,3.0,31.0,64.42553191489361,33.0,98.0
2024-12-20,11.0,10.0,416,643,,,,,,,37.36607142857143,19.0,61.0,27.75,17.0,39.0
2024-12-21,8.0,7.0,369,572,,,,,,,14.566037735849056,6.0,25.0,58.55974842767296,23.0,91.0
2024-12-22,8.0,8.0,419,657,,,,,,,18.830645161290324,5.0,39.0,27.5,5.0,58.0
2024-12-23,4.0,9.0,419,653,,,,,,,12.443850267379679,3.0,24.0,69.54010695187166,29.0,100.0
2024-12-24,6.0,11.0,339,543,,,,,,,13.16969696969697,4.0,26.0,68.4060606060606,32.0,97.0
2024-12-25,11.0,10.0,373,602,,,,,,,20.181818181818183,8.0,34.0,39.04132231404959,19.0,64.0
2024-12-26,8.0,9.0,354,579,,,,,,,16.976331360946745,5.0,43.0,54.9585798816568,21.0,89.0
2024-12-27,5.0,9.0,369,587,,,,,,,15.10691823899371,3.0,47.0,65.43396226415095,32.0,92.0
2024-12-28,13.0,10.0,268,407,,,,,,,29.741007194244606,9.0,67.0,27.007194244604317,12.0,43.0
2024-12-29,11.0,9.0,378,586,,,,,,,20.53125,8.0,51.0,29.7421875,7.0,59.0
2024-12-30,9.0,9.0,313,475,,,,,,,15.327272727272728,5.0,31.0,53.13333333333333,15.0,87.0
2024-12-31,11.0,9.0,283,478,,,,,,,17.54954954954955,6.0,31.0,28.054054054054053,7.0,56.0
2025-01-01,4.0,9.0,381,587,,,,,,,47.11764705882353,-1.0,71.0,9.632352941176471,5.0,17.0
2025-01-02,2.0,9.0,305,523,,,,,,,6.14207650273224,1.0,16.0,62.37158469945355,6.0,100.0
2025-01-03,7.0,9.0,370,570,,,,,,,14.403726708074535,3.0,27.0,67.11801242236025,37.0,95.0
2025-01-04,8.0,9.0,371,582,,,,,,,12.952702702702704,5.0,25.0,69.89864864864865,38.0,96.0
2025-01-05,7.0,9.0,387,596,,,,,,,15.23076923076923,3.0,27.0,57.01183431952663,25.0,90.0
2025-01-06,6.0,9.0,352,568,,,,,,,24.142857142857142,8.0,62.0,40.142857142857146,19.0,67.0
2025-01-07,11.0,10.0,441,660,,,,,,,19.818840579710145,4.0,39.0,39.21739130434783,16.0,67.0
2025-01-08,5.0,9.0,359,604,,,,,,,12.080645161290322,2.0,27.0,58.314516129032256,29.0,92.0
2025-01-09,14.0,9.0,377,573,,,,,,,19.611940298507463,7.0,38.0,36.52238805970149,10.0,68.0
2025-01-10,9.0,9.0,385,606,,,,,,,14.830188679245284,-1.0,31.0,55.839622641509436,33.0,82.0
2025-01-11,19.0,9.0,394,609,,,,,,,30.538011695906434,15.0,61.0,30.444444444444443,11.0,48.0
2025-01-12,8.0,9.0,376,597,,,,,,,14.970930232558139,5.0,28.0,45.075581395348834,6.0,82.0
2025-01-13,7.0,9.0,442,676,,,,,,,14.916129032258064,4.0,35.0,39.26451612903226,7.0,75.0
2025-01-14,5.0,9.0,402,621,,,,,,,13.488549618320612,4.0,24.0,59.47328244274809,29.0,89.0
2025-01-15,5.0,9.0,377,574,,,,,,,13.037593984962406,3.0,28.0,59.70676691729323,31.0,93.0
2025-01-16,6.0,10.0,377,588,,,,,,,12.539130434782608,-1.0,24.0,44.46086956521739,15.0,76.0
2025-01-17,3.0,9.0,392,616,,,,,,,13.479674796747968,2.0,27.0,51.0,23.0,86.0
2025-01-18,12.0,10.0,362,575,,,,,,,21.205479452054796,8.0,39.0,49.14383561643836,23.0,77.0
2025-01-19,6.0,9.0,370,584,,,,,,,13.635036496350365,-1.0,30.0,51.846715328467155,19.0,86.0
2025-01-20,9.0,9.0,412,634,,,,,,,18.124087591240876,5.0,33.0,33.81751824817518,10.0,65.0
2025-01-21,6.0,9.0,441,669,,,,,,,14.464285714285714,-1.0,31.0,63.792857142857144,37.0,95.0
2025-01-22,7.0,9.0,409,636,,,,,,,14.38655462184874,3.0,34.0,52.05882352941177,27.0,84.0
2025-01-23,7.0,9.0,442,680,,,,,,,15.829629629629629,5.0,29.0,49.77777777777778,21.0,83.0
2025-01-24,11.0,9.0,419,650,,,,,,,26.616666666666667,13.0,42.0,35.225,18.0,56.0
2025-01-25,8.0,9.0,407,630,,,,,,,16.005988023952096,5.0,33.0,50.778443113772454,13.0,84.0
2025-01-26,6.0,9.0,361,574,,,,,,,13.58108108108108,2.0,30.0,48.2972972972973,14.0,86.0
2025-01-27,6.0,9.0,423,647,,,,,,,13.23611111111111,-1.0,27.0,41.1875,7.0,79.0
2025-01-28,8.0,9.0,419,651,,,,,,,13.595588235294118,5.0,24.0,60.35294117647059,31.0,90.0
2025-01-29,7.0,9.0,379,601,,,,,,,20.382978723404257,6.0,38.0,47.45390070921986,24.0,73.0
2025-01-30,14.0,9.0,410,643,,,,,,,24.94776119402985,-1.0,50.0,29.791044776119403,10.0,51.0
2025-01-31,3.0,8.0,406,645,,,,,,,10.36111111111111,2.0,25.0,66.5,32.0,98.0
2025-02-01,12.0,9.0,316,502,,,,,,,18.08823529411765,9.0,33.0,52.60294117647059,27.0,78.0
2025-02-02,12.0,9.0,363,579,,,,,,,24.58,11.0,58.0,30.92,7.0,56.0
2025-02-03,4.0,10.0,401,644,,,,,,,14.078014184397164,3.0,25.0,48.56737588652482,19.0,83.0
2025-02-04,2.0,9.0,394,626,,,,,,,5.0,1.0,17.0,73.07575757575758,41.0,97.0
2025-02-05,10.0,9.0,415,650,,,,,,,19.4453125,5.0,37.0,36.25,14.0,67.0
2025-02-06,4.0,9.0,434,671,,,,,,,9.4,-1.0,26.0,65.01935483870967,30.0,98.0
2025-02-07,10.0,10.0,380,592,,,,,,,13.653543307086615,7.0,28.0,58.32283464566929,26.0,86.0
2025-02-08,15.0,10.0,356,570,,,,,,,28.67295597484277,14.0,68.0,21.79245283018868,5.0,41.0
2025-02-09,9.0,10.0,401,604,,,,,,,22.630872483221477,6.0,57.0,20.55704697986577,5.0,46.0
2025-02-10,3.0,10.0,414,649,,,,,,,8.387096774193548,-1.0,23.0,62.34193548387097,17.0,98.0
2025-02-11,3.0,9.0,395,631,,,,,,,9.164179104477611,2.0,24.0,66.41044776119404,30.0,99.0
2025-02-12,9.0,10.0,408,636,,,,,,,13.923664122137405,5.0,29.0,50.458015267175576,19.0,84.0
2025-02-13,3.0,9.0,450,691,,,,,,,8.571428571428571,2.0,18.0,66.64661654135338,31.0,97.0
2025-02-14,3.0,9.0,405,647,,,,,,,13.0625,4.0,25.0,64.7109375,38.0,95.0
2025-02-15,16.0,10.0,384,593,,,,,,,41.61764705882353,28.0,68.0,25.63235294117647,12.0,36.0
2025-02-16,5.0,9.0,356,551,,,,,,,12.253333333333334,4.0,25.0,41.93333333333333,5.0,84.0
2025-02-17,8.0,9.0,450,679,,,,,,,17.675862068965518,5.0,57.0,36.03448275862069,9.0,71.0
2025-02-18,2.0,9.0,399,638,,,,,,,8.422535211267606,-1.0,27.0,72.48591549295774,40.0,99.0
2025-02-19,6.0,9.0,404,628,,,,,,,13.611570247933884,4.0,25.0,56.950413223140494,29.0,88.0
2025-02-20,5.0,9.0,448,678,,,,,,,11.121621621621621,2.0,26.0,55.108108108108105,16.0,95.0
2025-02-21,5.0,9.0,395,629,,,,,,,11.129032258064516,2.0,23.0,75.54838709677419,46.0,98.0
2025-02-22,8.0,10.0,374,568,,,,,,,19.41358024691358,6.0,52.0,44.82716049382716,16.0,78.0
2025-02-23,2.0,10.0,369,565,,,,,,,9.846153846153847,1.0,24.0,73.62820512820512,36.0,100.0
2025-02-24,6.0,10.0,445,686,,,,,,,14.0,2.0,25.0,53.150326797385624,19.0,88.0
2025-02-25,4.0,9.0,425,662,,,,,,,8.683453237410072,3.0,23.0,76.64748201438849,48.0,100.0
2025-02-26,5.0,8.0,415,652,,,,,,,19.737704918032787,8.0,48.0,44.73770491803279,25.0,73.0
2025-02-27,5.0,9.0,404,638,,,,,,,7.519685039370079,2.0,18.0,74.77165354330708,46.0,96.0
2025-02-28,7.0,9.0,395,629,,,,,,,12.540322580645162,4.0,24.0,57.63709677419355,29.0,90.0
2025-03-01,9.0,9.0,371,570,,,,,,,20.714285714285715,6.0,43.0,39.51020408163265,15.0,71.0
2025-03-02,4.0,9.0,391,604,,,,,,,10.840579710144928,2.0,22.0,53.028985507246375,13.0,89.0
2025-03-03,1.0,9.0,451,686,,,,,,,11.640845070422536,3.0,23.0,55.50704225352113,18.0,92.0
2025-03-04,3.0,9.0,406,638,,,,,,,7.398496240601504,-1.0,31.0,76.60902255639098,49.0,98.0
2025-03-05,7.0,8.0,416,656,,,,,,,15.97037037037037,5.0,47.0,53.22962962962963,24.0,85.0
2025-03-06,7.0,7.0,419,661,,,,,,,10.785714285714286,5.0,20.0,61.25,24.0,96.0
2025-03-07,5.0,9.0,432,657,,,,,,,10.344827586206897,-1.0,21.0,67.15172413793104,32.0,99.0
2025-03-08,9.0,9.0,360,579,,,,,,,16.162790697674417,-1.0,30.0,67.25581395348837,44.0,93.0
2025-03-09,11.0,10.0,352,541,,,,,,,24.355371900826448,-1.0,64.0,16.545454545454547,5.0,31.0
2025-03-10,6.0,9.0,435,679,,,,,,,14.617021276595745,-1.0,31.0,37.9645390070922,7.0,75.0
2025-03-11,3.0,7.0,393,637,,,,,,,7.901315789473684,1.0,24.0,78.45394736842105,51.0,100.0
2025-03-12,16.0,9.0,405,621,,,,,,,26.25531914893617,15.0,61.0,36.156028368794324,19.0,55.0
2025-03-13,5.0,10.0,406,649,,,,,,,10.226415094339623,3.0,20.0,37.64150943396226,7.0,75.0
2025-03-14,2.0,9.0,398,633,,,,,,,12.992481203007518,3.0,26.0,45.526315789473685,12.0,83.0
2025-03-15,13.0,10.0,397,612,,,,,,,32.595588235294116,11.0,67.0,35.76470588235294,22.0,52.0
2025-03-16,6.0,9.0,384,594,,,,,,,12.49673202614379,4.0,35.0,52.111111111111114,10.0,89.0
2025-03-17,9.0,8.0,458,700,,,,,,,23.163265306122447,9.0,50.0,23.551020408163264,5.0,48.0
2025-03-18,5.0,9.0,396,617,,,,,,,13.067073170731707,-1.0,48.0,67.57926829268293,42.0,100.0
2025-03-19,13.0,9.0,380,605,,,,,,,32.65546218487395,11.0,64.0,29.907563025210084,17.0,44.0
2025-03-20,8.0,10.0,404,644,,,,,,,13.864,6.0,27.0,48.352,18.0,83.0
2025-03-21,9.0,10.0,392,625,,,,,,,25.902255639097746,5.0,64.0,28.593984962406015,8.0,59.0
